title,release_date,runtime,original_language,overview,poster_path,genres,production_companies,production_countries,spoken_languages,keywords
Ayee Milan Ki Bela,01-01-1964,0,hi,"Shyam works for Mr. Choudhry, and lives in a small village in India with his mother. Ranjeet, Shyam's childhood friend, returns from overseas, and all are overjoyed to see him back. Ranjeet and Shyam have a lot in common: Both are handsome, dedicated, pleasant and polite; Both share the same date of birth; and both also love the same woman, Barkha. It is the last similarity that causes friction between the two, so much so that Shyam is accused of impregnanting another woman, Roopa, and charged with stealing money.",/mdKgH5QhNNN6A2ZWMF3c4TCwrX8.jpg,Romance,,,Hindi,
Dil Diya Dard Liya,01-01-1966,169,hi,"A kind-hearted, widowed landlord, Thakur, lives a wealthy lifestyle with his son, Ramesh; daughter, Roopa; and an adopted child, Shankar. Ramesh hates Shankar and often abuses him. Years pass by, Thakur has passed away, and all three children have grown up. While Ramesh visits a stunningly attractive Courtesan, Tara, drinks alcohol, and continues to abuse and mercilessly beat Shankar, who bears this in silence as he and Roopa are in love with each other. When Ramesh finds out that Roopa wants to wed Shankar, he has him severely beaten and thrown off a cliff. He then arranges Roopa's marriage with another wealthy man, Satish, while he continues to romance Tara and even signs over his entire estate and home to her name.",,,,,Hindi,
Ek Mahal Ho Sapno Ka,09-07-1975,143,hi,"Vishal is a poet and lives a middle-class lifestyle with his widowed and wheelchair-bound mom. He is in love with Aruna, who works with a publishing company. Due to his forthrightness, Vishal is unable to keep a job, and Aruna attempts in vain to get him to work at her firm. Then she stops meeting him altogether, and a few days later he gets an invitation to attend her marriage with her boss, Anand Kumar Sahegal. This turn of events devastates Vishal to such an extent that he takes to alcohol, visits prostitutes, gambles, and hates all women especially Aruna. Vishal gains fame selling his poems to Ramu Makhichandani, but does not improve his lifestyle. Then one day a young woman named Sonia enters his life and both of them fall in love with each other.",/numjmowFFCZFKOoI5oc1YhU0PqK.jpg,,,,,
Kaajal,01-01-1965,0,hi,"The Munim (Clerk) in Ranimaa's family lives with his son, Kaushal and daughter, Madhavi. After he passes away, Ranimaa brings up both children as her own, along with her only son, Rajesh. Years later, Rajesh has grown up and is of marriageable age. He meets with beautiful Bhanu Saxena and both fall in love with each other. Shortly thereafter, in a boating accident, Kaushal passes away, leaving behind a devastated Madhavi, Rajesh, who blames himself for his death, and Ranimaa. A few months later, Rajesh gets married to Bhanu and she moves in with them. Bhanu dislikes Madhavi and would like her out of the way, she goes to the extent of accusing her of having an affair with her husband.",/4TWD8XBAjuie06Ki3Aky3U3SJUD.jpg,,,India,Hindi,
Kal Aaj Aur Kal,17-09-1971,0,hi,"Widower Ram Kapoor lives a very wealthy lifestyle in Bombay, but is very lonely, as his only child, a son named Rajesh, lives abroad, and his aged dad, Diwan Bahadur, lives in the village. Ram frequently throws lavish parties to overcome this loneliness. This changes when Rajesh returns home, and he is able to convince Diwan also to return so that the three could live together. Shortly thereafter differences crop up between Rajesh and Diwan - initially on love and marriage; then on Caste issues; then the marriage of Rajesh, which is arranged with Diwan's friend, Thakur Janak Singh's daughter, Rukmani, while Rajesh wants to marry Monica. Things come to such a pass that Ram decides to leave, takes to women and alcohol in a big way, and becomes the subject of a big scandal.",/hIUNobRolV0i18SvNMDB3mcDp4D.jpg,"Family, Drama",R.K. Films Ltd.,India,Hindi,
Mere Huzoor,25-10-1968,165,hi,"Akhtar Hussain saves the life of Nawab Salim, and earns his gratitude. Salim invites Akhtar to come to his palatial home, and Akhtar does so. On the way, he meets beautiful Saltanat, and falls in love with her. On arrival at Salim's house, Akhtar is treated with utmost respect, provided employment, and a place to live. Akhtar meets with Saltanat and both plan to get married. Unknown to them, Salim also loves Saltanat, but Saltanat rejects his advances, and proposal, leaving his heartbroken. Soon Saltanat and Akhtar get married and settle down. Saltanat soon gives birth to a son. Salim is very affectionate with this child, and the child too grows to like Salim. Akhtar, meanwhile, has fallen in bad company, drinks alcohol, and romances a courtesan.",/3iVuiyJKDElUilGNtfx03KrDycv.jpg,,Movie Mughals,India,"Urdu, Hindi",
The Square Circle,12-09-1996,107,hi,An abducted and sexually abused girl  has her traditional views towards sexuality changed after finding refuge and kindness with a trans woman.,/o0x5l4P79pecCOiFX84xHw8uPgW.jpg,"Drama, Music, Romance",Gateway Entertainment,India,Hindi,"lgbt, trans"
Paying Guest,01-01-1957,145,hi,"An incompetent lawyer gets evicted, dons the guise of an old man to gain accommodation, falls for the owner's daughter, then faces numerous life-changing challenges.",/vi1jVsmQynaO75SwtUbR6qhHDNP.jpg,"Comedy, Drama, Crime",,India,,
Phir Wohi Dil Laya Hoon,01-01-1963,0,hi,"Due to a growing marital rift between Jamuna and her husband, she decides to leave him. He does not permit her to take their son, so she arranges his abduction, and disappears from her husband's life. Years later, Jamuna's son, Mohan, has grown up, and together they live a middle-class existence. One day, Mohan meets with Mona and both are attracted to each other. But Mona's guardian would like her to marry Biharilal alias Difu, who is foreign returned and comes from a very wealthy family. Mona and her friends embark on a trip to Srinagar, and Mohan follows her there. Then Jamuna's overjoyed husband announces the return of his son, Mohan, back to his household.",/1r3AYabTpYUdPMvprWzyeouuBkw.jpg,"Music, Romance",,India,Hindi,
Tumse Achha Kaun Hai,01-01-1969,0,hi,"In order to get medical treatment for his sister, a brother faces challenges when he is hired to subdue three out-of-control heiresses.",/eP84QoZGXNv9gTskvMU36zoxFOX.jpg,,,India,Hindi,
