title,release_date,runtime,original_language,overview,poster_path,genres,production_companies,production_countries,spoken_languages,keywords
Honour of the House,23-10-1994,133,hi,"Ram Kumar (Kader Khan) is the eldest of four sons in his family. He has brought up his three younger brothers, Shyam (Kanu Chauhan), Sohan (Jeetendra), and Mohan (Rishi Kapoor), with love and fatherly care, together with his wife, Sita (Asha Parekh). Sita has a younger sister, Gita (Juhi Chawla), who also lives with them. Gita is a child-widow. Ram does not approve of anyone referring to Gita as such. Ram decides that it is time for Shyam and Sohan to get married, and he picks their brides for them. Shyam marries Mona, and Sohan marries Sheela (Anita Raj). With the entry of these two new wives, the equilibrium of love and respect is disrupted, as both want more control and demand more respect, which leads to clashes and quarrels all round, and changes in the lives of all the inhabitants. Eventually, in the end, everyone lives happily together and Mohan and Gita get married.",/n0c0gS406uj8P6Mz6hCxDLjzw6V.jpg,Drama,,India,Hindi,
Janam Kundli,12-05-1995,157,hi,"Film about a wealthy, religious man and his daughter who was talked into marrying another wealthy man.",/y0l1DU8HZLE1wugho5ZwQIJSe5J.jpg,"Action, Drama",,India,Hindi,
Rukhsat,10-06-1988,0,hi,"Arjun Rai lives a poor lifestyle in Bombay, and works as an auto mechanic for a living. He and wealthy Sapna are in love with each other, much to the chagrin of Sapna's dad, who wants her to get married to someone wealthy. Arjun decides to buy his own garage and borrows money from a client, Jagdish Chopra. He works hard and is able to save some money. When he goes to propose for Sapna's hand, her dad asks his watchmen to throw him out, while doing so they find out he was armed, as a result police are summoned and he is arrested. Sapna re-locates to the U.S. to stay with her aunt, who subsequently convinces her to get married to Gautam Saigal.",/tJZhZyE6Cexq8lq3plH1OTERHyA.jpg,Romance,,India,Hindi,
Ahaan,19-03-2021,81,hi,"Jilted by his wife, a man with OCD finds eye-opening common ground and camaraderie with his neighbour, a young man with Down Syndrome.",/gMb3pKpXU3WXQpFjteynQDwctp2.jpg,"Comedy, Drama",Will Finds Way Films,India,Hindi,
Krodhi,03-02-1981,159,hi,"Unaware of his parents, as he was abandoned as a young child, Vikramjit Singh alias Vicky grows up amidst hatred.",/pl6Or87TskMSYs782LhwASKjSF7.jpg,,,India,Hindi,
Prem Qaidi,21-06-1991,157,hi,"A teenage couple fall in love, but their relationship is opposed by the girl's father because the boy is not from a wealthy family.",/rjRzMaQReJosxWIsmpwKl4EiFBw.jpg,"Romance, Action",,India,Hindi,
Hamraaz,16-10-1967,170,hi,A stage actor from Bombay becomes entangled in a murder mystery after he falls in love with a mysterious woman in Darjeeling and marries her.,/oAFc7O1HVdaxdpr0SrbizPZTWOf.jpg,"Thriller, Music, Mystery","All-India Film Corporation, B.R. Films, United Producers, Prabha Pictures",India,Hindi,
Aas Paas,16-01-1981,160,hi,"After her fianc?? is killed in an accident, Seema becomes a bar dancer and is raped. When her fianc?? miraculously returns, she learns that her rapist is his uncle.",/A3ZGBRAYkk2PTedHY4Sdfc55qWj.jpg,"Drama, Romance",Film Kunj,,Hindi,
Aapko Pehle Bhi Kahin Dekha Hai,10-01-2003,0,hi,"A suspended cop ends up in Calgary searching for a criminal, where he falls in love with daughter of a successful Indian businessman and a protective father who takes a while to accept his future son-in-law.",/l4z4EGP3LIMuGyWmXs5smksOq8S.jpg,"Romance, Action, Comedy, Drama","Anubhav Sinha Productions, T-Series",India,Hindi,
Queen of Sajjangarh,,151,hi,Three couple decide to go to an old haveli during the lockdown.  There they unknowingly free a spirit in the process of opening a door which was closed from several years.  After which all the three couple are subjected to strange and spine chilling incidents.,/paPDSGxfilfJEvneOp78VoqMgNq.jpg,"Horror, Drama",,,Hindi,
Pyaar Karke Dekho,27-02-1987,0,hi,"Orphaned Ravi Kumar lives in Poona, India, with his maternal uncle. As he wants to pursue a career as a singer/dancer, he re-locates to Bombay, so that he could audition for the All India Talent Association.",/ywVHjOwgtTxVgm8xvLqwdwMDIyn.jpg,"Family, Romance, Music",,,"Russian, Hindi",
Apradh,01-01-1972,128,hi,Romance between a beautiful thief and a race car driver,/jYb6lZewssBmlVPd6HAgvv44jkB.jpg,"Romance, Action, Thriller",F.K. International,India,Hindi,
5 Rifles,09-08-1974,134,hi,An Indian ruler struggles to rescue her family and liberate her land from the British.,/9YQwchmF9rWZaj2ENSxNXNCLU2U.jpg,"Action, Comedy",,India,Hindi,
